id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
1504,2008-06-15,2008-06-15,,Eastern Time (US & Canada),,169,flapack,2009-02-07 15:59:01 -0800,2018-07-02 13:27:00 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/1504,https://static.inaturalist.org/photos/1757/medium.jpg?1444492539,,"",I thought the redish markings on this guy were really nice.  Much more colorful than most of the grey snapper we run accross in Fort Lauderdale.,false,1,0,false,,Bahia Honda State Park,24.6482257843,-81.2828216553,,,,,,,,false,,,Grey snapper,Lutjanus griseus,Grey Snapper,Actinopterygii,49509,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
8711,2003-06-21,2003-06-21,,Eastern Time (US & Canada),,169,flapack,2010-10-24 09:14:10 -0700,2018-10-14 19:34:30 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/8711,https://static.inaturalist.org/photos/18678/medium.jpg?1444500163,,"","",false,3,0,false,,"John Pennekamp Coral Reef State Park, FL",25.0750274658,-80.3855895996,,,,,,,,false,,,Yellowtail Snapper,Ocyurus chrysurus,Yellowtail Snapper,Actinopterygii,47292,Actinopterygii,Perciformes,Lutjanidae,Ocyurus
8717,2003-06-21,2003-06-21,,Eastern Time (US & Canada),,169,flapack,2010-10-24 09:23:35 -0700,2018-07-02 13:25:21 -0700,research,CC-BY-NC,http://www.inaturalist.org/observations/8717,https://static.inaturalist.org/photos/18684/medium.jpg?1444500183,,"","",false,5,1,false,,"Florida, US",25.1037881016,-80.5228654477,,,,,,,obscured,true,,,Grey Snapper,Lutjanus griseus,Grey Snapper,Actinopterygii,49509,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
77514,2008-05-10,2008-05-10,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-11 18:51:34 -0700,2018-04-03 08:43:15 -0700,research,CC-BY,http://www.inaturalist.org/observations/77514,https://static.inaturalist.org/photos/114788/medium.JPG,,female,"Dive site Bari Reef, max depth 47ft / 14.3m.  Night.

Initial phase.",false,2,0,false,,"Bonaire, Netherlands Antilles",12.167578543,-68.2876558759,90,,,,,,,false,,"",Stoplight Parrotfish,Sparisoma viride,Stoplight Parrotfish,Actinopterygii,112867,Actinopterygii,Perciformes,Scaridae,Sparisoma
77516,2008-05-10,2008-05-10,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-11 18:56:27 -0700,2014-10-19 10:38:51 -0700,research,CC-BY,http://www.inaturalist.org/observations/77516,https://static.inaturalist.org/photos/114791/medium.JPG,,"","Dive site Bari Reef, max depth 70ft / 21.3m.  Dusk turning into night.  

Terminal phase.",false,1,0,false,,,12.0155327744,-68.2449461706,90,,,,,,obscured,true,,"",Rainbow Parrotfish (Scarus guacamaia),Scarus guacamaia,Rainbow Parrotfish,Actinopterygii,112148,Actinopterygii,Perciformes,Scaridae,Scarus
78034,2008-05-15,2008-05-15,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-12 22:32:47 -0700,2014-10-19 10:40:17 -0700,research,CC-BY,http://www.inaturalist.org/observations/78034,https://static.inaturalist.org/photos/115508/medium.JPG,,"","Bari Reef dive site, max depth 54ft / 16.5m.",false,1,0,false,,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,,,,false,,"",French Grunt,Haemulon flavolineatum,French Grunt,Actinopterygii,62600,Actinopterygii,Perciformes,Haemulidae,Haemulon
78040,2008-05-15,2008-05-15,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-12 22:41:56 -0700,2014-12-30 14:48:27 -0800,research,CC-BY,http://www.inaturalist.org/observations/78040,https://static.inaturalist.org/photos/115516/medium.JPG,,"","Bari Reef dive site, max depth 54ft / 16.5m.

Foraging school with several other fish species mixed in.",false,2,0,false,,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,,,,false,,"",Atlantic Blue Tang,Acanthurus coeruleus,Atlantic Blue Tang,Actinopterygii,121196,Actinopterygii,Perciformes,Acanthuridae,Acanthurus
78041,2008-05-15,2008-05-15,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-12 22:45:24 -0700,2019-12-01 16:54:11 -0800,research,CC-BY,http://www.inaturalist.org/observations/78041,https://static.inaturalist.org/photos/115517/medium.JPG,,male,"Bari Reef dive site, max depth 54ft / 16.5m.

In a school of Blue Tang.  Terminal phase.",false,3,0,false,,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,,,open,false,,"",Stoplight Parrotfish,Sparisoma viride,Stoplight Parrotfish,Actinopterygii,112867,Actinopterygii,Perciformes,Scaridae,Sparisoma
78042,2008-05-15,2008-05-15,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-12 22:47:52 -0700,2017-11-19 14:07:30 -0800,research,CC-BY,http://www.inaturalist.org/observations/78042,https://static.inaturalist.org/photos/115518/medium.JPG,,"","Bari Reef dive site, max depth 54ft / 16.5m.

In a school of Blue Tang.",false,1,0,false,,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,,,,false,,"",Tiger Grouper,Mycteroperca tigris,Tiger Grouper,Actinopterygii,64470,Actinopterygii,Perciformes,Serranidae,Mycteroperca
78043,2008-05-15,2008-05-15,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-12 22:50:57 -0700,2019-01-31 13:52:59 -0800,research,CC-BY,http://www.inaturalist.org/observations/78043,https://static.inaturalist.org/photos/115521/medium.JPG,,male,"Bari Reef dive site, max depth 54ft / 16.5m.

In a school of Blue Tang.  Terminal Phase.",false,2,0,false,,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,,,,false,,"",Princess Parrotfish,Scarus taeniopterus,Princess Parrotfish,Actinopterygii,112166,Actinopterygii,Perciformes,Scaridae,Scarus
78059,2008-05-12,2008-05-12,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-12 23:06:18 -0700,2018-07-24 10:19:07 -0700,research,CC-BY,http://www.inaturalist.org/observations/78059,https://static.inaturalist.org/photos/115533/medium.JPG,,"","Bari Reef dive site, max depth 56ft / 17.1m.

Following a hunting Spotted Moray.",false,2,0,false,,"Bonaire, Netherlands Antilles",12.1674659155,-68.2878752522,68,,,,,,,false,,"",Schoolmaster Snapper,Lutjanus apodus,Schoolmaster Snapper,Actinopterygii,81989,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
78073,2008-05-12,2008-05-12,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-12 23:34:16 -0700,2018-04-03 08:43:06 -0700,research,CC-BY,http://www.inaturalist.org/observations/78073,https://static.inaturalist.org/photos/115556/medium.JPG,,"female, male","Bari Reef dive site, max depth 56ft / 17.1m.

Initial phase (bottom) and terminal phase (top).",false,2,0,false,,"Bonaire, Netherlands Antilles",12.1674659155,-68.2878752522,68,,,,,,,false,,"",Stoplight Parrotfish,Sparisoma viride,Stoplight Parrotfish,Actinopterygii,112867,Actinopterygii,Perciformes,Scaridae,Sparisoma
78075,2008-05-12,2008-05-12,,Pacific Time (US & Canada),false,2991,sea-kangaroo,2012-05-12 23:41:45 -0700,2018-04-03 08:43:04 -0700,research,CC-BY,http://www.inaturalist.org/observations/78075,https://static.inaturalist.org/photos/115560/medium.JPG,,juvenile,"Bari Reef dive site, max depth 56ft / 17.1m.

Mystery juvenile.  Either Princess Parrotfish or Striped Parrotfish, I guess.  ",false,2,0,false,,"Bonaire, Netherlands Antilles",12.1674659155,-68.2878752522,68,,,,,,,false,,"",Princess Parrotfish (Scarus taeniopterus),Scarus taeniopterus,Princess Parrotfish,Actinopterygii,112166,Actinopterygii,Perciformes,Scaridae,Scarus
78092,2008-05-11,2008-05-11,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-13 00:42:23 -0700,2016-11-29 13:25:17 -0800,research,CC-BY,http://www.inaturalist.org/observations/78092,https://static.inaturalist.org/photos/115582/medium.JPG,,"","Witches' Hut dive site, evening/night.  Max depth 47ft / 14.3m.",false,1,0,false,,"Bonaire, Netherlands Antilles",12.2048043854,-68.3180133451,259,,,,,,,false,,"",Boga,Haemulon vittatum,Boga,Actinopterygii,495478,Actinopterygii,Perciformes,Haemulidae,Haemulon
78253,2011-02-10,2011-02-10,,Eastern Time (US & Canada),false,6610,rcollin,2012-05-13 13:14:34 -0700,2019-01-17 05:25:21 -0800,research,CC-BY-NC,http://www.inaturalist.org/observations/78253,https://static.inaturalist.org/photos/115800/medium.jpg,,"","",false,2,0,false,,Panama,9.3828980211,-82.0003198229,1500,,,,,,obscured,true,,,Elkhorn Coral,Acropora palmata,Elkhorn Coral,Animalia,93312,Anthozoa,Scleractinia,Acroporidae,Acropora
82534,2008-05-11,2008-05-11,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-23 18:20:04 -0700,2016-11-29 13:25:16 -0800,research,CC-BY,http://www.inaturalist.org/observations/82534,https://static.inaturalist.org/photos/121170/medium.JPG,,"cleaner fish, symbiosis","Dive site Oil Slick Leap, max depth 87 ft / 26.5m.

Being cleaned by what I think are juvenile/initial phase Bluehead Wrasse (Thalassoma bifasciatum).",false,1,0,false,,"Bonaire, Netherlands Antilles",12.2008175965,-68.311473892,427,,,,,,,false,,"",Boga,Haemulon vittatum,Boga,Actinopterygii,495478,Actinopterygii,Perciformes,Haemulidae,Haemulon
82547,2008-05-11,2008-05-11,,Pacific Time (US & Canada),,2991,sea-kangaroo,2012-05-23 20:13:50 -0700,2014-10-19 10:52:44 -0700,research,CC-BY,http://www.inaturalist.org/observations/82547,https://static.inaturalist.org/photos/121192/medium.JPG,,"","Dive site Oil Slick Leap, max depth 87 ft / 26.5m.
",false,1,0,false,,"Bonaire, Netherlands Antilles",12.2008175965,-68.311473892,427,,,,,,,false,,"",Bluestriped Grunt,Haemulon sciurus,Bluestriped Grunt,Actinopterygii,49262,Actinopterygii,Perciformes,Haemulidae,Haemulon
